4:42:43 PM  [main] 	Initializing Control Panel
4:42:43 PM  [main] 	Windows Version:  Home  64-bit
4:42:43 PM  [main] 	XAMPP Version: 8.0.28
4:42:43 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
4:42:43 PM  [main] 	You are not running with administrator rights! This will work for
4:42:43 PM  [main] 	most application stuff but whenever you do something with services
4:42:43 PM  [main] 	there will be a security dialogue or things will break! So think 
4:42:43 PM  [main] 	about running this application with administrator rights!
4:42:43 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
4:42:43 PM  [main] 	Checking for prerequisites
4:42:44 PM  [main] 	All prerequisites found
4:42:44 PM  [main] 	Initializing Modules
4:42:44 PM  [main] 	Starting Check-Timer
4:42:44 PM  [main] 	Control Panel Ready
4:42:46 PM  [mysql] 	Attempting to start MySQL app...
4:42:47 PM  [mysql] 	Status change detected: running
4:42:49 PM  [mysql] 	Status change detected: stopped
4:42:49 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
4:42:49 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
4:42:49 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
4:42:49 PM  [mysql] 	Press the Logs button to view error logs and check
4:42:49 PM  [mysql] 	the Windows Event Viewer for more clues
4:42:49 PM  [mysql] 	If you need more help, copy and post this
4:42:49 PM  [mysql] 	entire log window on the forums
4:51:29 PM  [main] 	Deinitializing Modules
4:51:29 PM  [main] 	Deinitializing Control Panel

